date,max,min,mean
2023-02-08,3.1202455,-4.4497547,-1.2705878
2023-02-09,6.0302453,-6.119755,-1.1389214
2023-02-10,6.3702455,-5.789755,-0.8289213
2023-02-11,8.300245,-5.1097546,0.09232899
2023-02-12,10.200245,-3.1097546,2.121912
2023-02-13,9.100245,0.2602454,2.9369118
2023-02-14,9.260245,-1.0597546,2.1827455
2023-02-15,11.370245,-1.4397546,2.5010788
2023-02-16,13.820246,-0.97975457,5.2077456
2023-02-17,13.390245,7.7002454,10.530246
2023-02-18,15.0602455,10.190246,12.031914
2023-02-19,11.240245,8.050245,9.864411
2023-02-20,15.650246,2.3002453,8.319829
2023-02-21,16.640245,0.5402454,6.9706616
2023-02-22,13.230246,1.7502455,7.296079
2023-02-23,13.830245,7.0502453,9.781077
2023-02-24,13.380245,3.7902455,8.099828
2023-02-25,9.300245,1.7602454,5.426495
2023-02-26,1.9902455,-1.0497546,0.89066213
2023-02-27,2.8602452,-0.09975457,1.2827454
2023-02-28,2.8302455,-1.3497546,0.4098288
2023-03-01,4.980245,-1.8297547,1.1648287
2023-03-02,6.3202453,0.7402454,2.8614953
2023-03-03,8.380245,0.00024539232,3.5948286
2023-03-04,8.210245,-0.5497546,3.4164953
2023-03-05,6.8902454,0.19024539,3.1052454
2023-03-06,6.1202455,-0.03975457,3.0627453
2023-03-07,7.190245,0.7802454,3.903162
2023-03-08,12.870245,1.7202454,7.542745
2023-03-09,15.900246,10.280245,12.440662
2023-03-10,11.220245,6.150245,9.371495
2023-03-11,6.500245,1.6502454,4.2731624
2023-03-12,13.250245,3.7502456,8.107747
2023-03-13,21.620245,9.220245,14.730243
2023-03-14,12.450245,6.130245,9.479412
2023-03-15,9.350245,0.9502454,5.350662
2023-03-16,13.420245,-0.60975456,5.4377456
2023-03-17,17.380245,1.7002454,9.450246
2023-03-18,17.730246,3.9302454,11.495246
2023-03-19,13.740245,7.5602455,10.945247
2023-03-20,13.740245,6.3902454,9.463162
2023-03-21,16.130245,2.6702452,9.241912
2023-03-22,19.290245,5.380245,12.399829
2023-03-23,16.550245,11.240245,14.033578
2023-03-24,14.640245,9.780245,12.638579
2023-03-25,12.590245,7.2402453,9.861913
2023-03-26,12.600245,6.480245,8.996911
2023-03-27,7.3002453,3.0702453,5.9423294
2023-03-28,11.040245,-1.8497547,5.471495
2023-03-29,19.710245,8.000245,12.870246
2023-03-30,16.670246,12.440246,14.28608
2023-03-31,14.550245,9.940246,12.159412
2023-04-01,11.330245,8.070246,9.285245
2023-04-02,12.020246,7.0802455,9.173579
2023-04-03,8.210245,3.7502456,6.3548284
2023-04-04,9.760245,-1.2797546,4.2673287
2023-04-05,10.770246,-0.9197546,4.401912
2023-04-06,12.820246,-2.0797548,6.543579
2023-04-07,9.370245,5.6202455,7.393162
2023-04-08,12.030245,5.3202453,8.507328
2023-04-09,15.340245,2.8502455,9.120662
2023-04-10,17.500246,2.3702455,10.408996
2023-04-11,14.580245,9.600245,12.000661
2023-04-12,13.800245,8.120246,10.347745
2023-04-13,9.670245,5.4502454,7.6739945
2023-04-14,14.190246,2.1202455,8.180662
2023-04-15,12.780245,4.4502454,8.700245
2023-04-16,10.170245,8.300245,8.906495
2023-04-17,13.820246,7.9902453,10.177329
2023-04-18,15.760245,7.5502453,10.651077
2023-04-19,13.490245,6.4502454,10.127328
2023-04-20,9.280245,4.5002456,7.263161
